1000027543	TIM	BA	Serrinha	SERRINHA	RUA PEDRO THIAGO, 85,	-11.660.306	-39.005.833	2930501	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000027560	VIVO	AM	Manaus	CIDADE NOVA	RUA FIGUEIRENSE X AVENIDA PALMEIRAS, S N,	-302.139	-5.994.583	1302603	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000029007	TIM	RJ	Rio de Janeiro	CENTRO	TRAVESSA BELAS ARTES, 15,	-22.904.417	-43.182.222	3304557	Rooftop 	2G - 3G - 4G - 5G	700 - 1800 - 2100 - 3500
1000029040	VIVO	ES	Serra	PRAIA DE ITAPARICA	RODOVIA BR 101, KM 253, S N, CONDOMINIO EDIFICIO PRAIA DOURADA	-20.118.828	-40.313.003	3205002	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000029147	TIM	AM	Manaus	CHAPADA	AVENIDA DJALMA BATISTA, 1661,	-310.139	-6.002.472	1302603	Indoor 	2G - 3G - 4G	1800 - 2100 - 2500
1000030846	VIVO	GO	Formosa	ZONA RURAL	RODOVIA GO 458, FAZENDA SAO MIGUEL TOSCANO, S N,	-15.100.278	-47.229.167	5208004	Greenfield 	2G - 3G - 4G	700 - 850 - 1800 - 2100
1000031249	VIVO	PR	Apucarana	(vazio)	PRACA INTERVENTOR MANOEL RIBAS,S N,CENTRO, ,	-2.355.111	-5.146.389	4101408	Nao Informada	2G	850
1000031397	VIVO	MG	Jeceaba	ZONA RURAL	MORRO PASTO DA FILICA - FAZENDA BELA VISTA S N, S N,	-20.532.639	-44.001.828	3135407	Greenfield 	2G - 3G - 4G	700 - 850 - 900 - 1800 - 2100 - 2500
1000031419	VIVO	ES	Cariacica	SAO BENEDITO	RUA SAO BENEDITO, 30, RBR-NAO	-2.033.111	-4.039.472	3201308	Greenfield 	3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000031761	VIVO	MG	Joao Monlevade	IPIRANGA	RUA GAIVOTA, S N,	-1.981.694	-4.319.167	3136207	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000032059	VIVO	MG	Ibitiura de Minas	AGUA LIMPA	AO LADO DA REPETIDORA DE TV, S N,	-2.203.778	-4.643.778	3129905	Nao Informada	2G - 3G - 4G	700 - 850 - 900 - 1800
1000032237	VIVO	MG	Coimbra	ZONA RURAL	RODOVIA BR 120 KM 651 - FAZENDA BOA VISTA,SN,ZONA RURAL, S N,	-2.080.917	-4.283.028	3116704	Nao Informada	2G - 4G	700 - 900
1000032326	TIM	MG	Belo Horizonte	PRADO	Avenida Do Contorno, 9530, -	-199.225	-4.395.722	3106200	Indoor 	2G - 3G - 4G	850 - 1800
1000032377	VIVO	MG	Carangola	ZONA RURAL	BR 482 KM 16,S N,ZONA RURAL, S N,	-2.072.056	-4.214.444	3113305	Nao Informada	2G - 3G - 4G	700 - 850 - 900 - 1800 - 2100
1000032393	VIVO	MG	Senador Modestino Goncalves	CENTRO	USINA DE RECICLAGEM DE LIXO, S N,	-1.794.611	-4.323.194	3165909	Nao Informada	2G - 3G - 4G	700 - 850 - 900 - 1800 - 2100 - 2500
1000033004	TIM	MG	Capitao Eneas	ZONA RURAL	RODOVIA BR 122, S N, KM 122 - MORRO DAS ANTENAS, -43,685583	-16.377.722	-43.685.583	3112703	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 900 - 1800 - 3500
1000033551	VIVO	AM	Manaus	CIDADE NOVA	RUA 197, 20,	-3.05	-5.997.083	1302603	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000033560	VIVO	RS	Caxias do Sul	Jardim America	RUA ARCY DA ROCHA NOBREGA, S N, RBR-NAO	-2.915.667	-5.117.083	4305108	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000033578	TIM	BA	Iacu	-	RUA QUINZE DE NOVEMBRO S N -IACU-IACU, ,	-12.765.722	-4.020.925	2911907	Greenfield 	2G - 3G - 4G	700 - 850 - 900 - 1800
1000033586	VIVO	AM	Manaus	PARQUE DAS NACOES	RUA 14, QUADRA I - CONJUNTO BEIJA-FLOR II, 183,	-304.778	-6.000.806	1302603	Greenfield 	3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2300 - 2500 - 3500
1000033985	CLARO	PE	Caruaru	Salgado	RUA MARTINS FRANCISCO, 54,	-828.065	-35.961	2604106	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
1000034132	TIM	SP	Sao Paulo	CAMPO BELO	PRACA COMANDANTE LINNEU GOMES, SN,	-23.627.472	-46.658.944	3550308	Rooftop 	2G - 3G - 4G - 5G	700 - 900 - 1800 - 2100 - 2500 - 3500
1000034639	TIM	SP	Onda Verde	CENTRO	RUA PEDRO DE TOLEDO NA, S N, 0	-20.608.139	-49.295.667	3534005	Greenfield 	2G - 3G - 4G	700 - 900 - 1800 - 2100
1000034787	CLARO	AL	Coruripe	COLONIA PINDORAMA	R MONTE FELIZ, S N, COLONIA PINDORAMA	-101.512	-363.353	2702306	Greenfield 	2G - 3G - 4G	700 - 850 - 900 - 1800 - 2100 - 2500
1000034809	CLARO	CE	Caridade	CENTRO	R RAIMUNDO AIRES, S N, PROXIMO AO N 79	-42.329	-391.949	2303006	Nao Informada	2G - 3G - 4G	850 - 1800 - 2100
1000034981	VIVO	SC	Joinville	Nova Brasilia	R JATIVOCA - N 697, 697,	-26.338.889	-48.877.222	4209102	Greenfield 	2G - 3G - 4G - 5G	700 - 850 - 1800 - 2100 - 2500 - 3500
