Número Estação;Operadora;SiglaUf;MUN;Bairro;Logradouro;Latitude;Longitude;IBGE;ClassInfraFisica;Tecs;Faixa
686871782;VIVO;MA;São Luís;AURORA;RUA NOSSA SENHORA DE SANTANA, 29, (CONJ SÃO RAIMUNDO);-2.60389;-44.23472;2111300;Greenfield ;2G 3G 4G ;1800 2100 
686873505;TIM;MA;Paço do Lumiar;PACO DO LUMIAR;AVENIDA SANTA EDWIGES, S/N, ;-2.520056;-44.174389;2107506;Greenfield ;2G 3G 4G 5G ;700 900 1800 2100 2500 3500 
686873718;CLARO;ES;Presidente Kennedy;CENTRO;R ETA, S/N, PARQUE DE EXPOSIÇÕES COSTA LONGA;-21.1008;-41.0414;3204302;Greenfield ;2G 3G 4G ;700 850 2100 
686873734;CLARO;RS;Porto Alegre;RUBEM BERTA;ESTRADA MARTIM FÉLIX BERTA, 1305, ;-30.0287;-51.1072;4314902;Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686873793;CLARO;RS;Machadinho;CENTRO;AV INDEPENDÊNCIA, S/N, ACESSO PELA RUA PAPA JOÃO XXIII;-27.5673;-51.6692;4311700;Greenfield ;2G 3G 4G ;700 850 1800 
686874145;CLARO;RS;Ivoti;SETE DE SETEMBRO;R CASTRO ALVES, 850, ;-29.6147;-51.1586;4310801;Greenfield ;2G 3G 4G ;700 850 900 1800 2100 
686874315;CLARO;RS;Ibiraiaras;CENTRO;R JOSÉ BEDIN, 212, QUADRA 61;-28.3661;-51.6366;4309902;;2G 3G 4G ;700 850 2100 
686874510;CLARO;RS;Cachoeirinha;Parque Granja Esperança;R JOSE ALVES PEREIRA, 208, AO LADO DA CASA NÚMERO 198;-29.90994;-51.08145;4303103;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686874587;CLARO;RS;Ciríaco;CENTRO;R GONÇALVES DIAS, 370, ;-28.3475;-51.877;4305504;;2G 3G 4G ;700 850 2100 
686875281;CLARO;RS;Cacique Doble;LINHA RICARDI;AV GUERINO CARNIEL, S/N, ;-27.76278;-51.67028;4303202;;2G 3G 4G ;700 850 2100 
686875710;CLARO;RS;Cachoeirinha;VILA JARDIM AMÉRICA;RUA DOUTOR NILO PEÇANHA, 684, LT 253 QD 09 - ENTRE AS CASAS DE Nº 674 E 694;-29.96112;-51.10533;4303103;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686875753;CLARO;RS;Rio Grande;CENTRO;AV COMENTADOR VASCO VIEIRA DA FONSECA, 693, COND. ED. TOPÁZIO;-32.02908;-52.10418;4315602;Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686875800;CLARO;RS;General Câmara;CENTRO;R DUQUE DE CAXIAS, S/N, 87 - LOTE A QUADRA 42;-29.90752;-51.76297;4308805;Greenfield ;2G 3G 4G ;850 1800 
686875869;CLARO;RJ;Comendador Levy Gasparian;CENTRO;R ANTONIO DE MATOS SOUZA, S/N, N/A;-22.0329;-43.2071;3300951;;2G 3G 4G ;700 850 900 1800 2100 
686875982;CLARO;SP;Riversul;AREA RURAL;R OLIVEIRA RAMOS, S/N, AO LADO CAIXA DE AGUA SABESP PRÓXIMO DA TORRE DA VIVO;-23.83578;-49.44058;3543501;Greenfield ;2G 3G 4G ;850 1800 2100 2500 
686876024;CLARO;SP;Aparecida;-;ROD PRESIDENTE DUTRA, KM 73,8, FAZENDA JOVIMAR, , ;-22.8675;-45.24639;3502507;Greenfield ;2G 3G 4G ;850 1800 2500 
686876032;CLARO;SP;São José do Barreiro;ZONA RURAL;R SÃO FRANCISCO, S/N, CHÁCARA UNIÃO;-22.6401;-44.57812;3549607;Greenfield ;2G 3G 4G ;700 850 1800 2100 
686876148;CLARO;SP;Ibiúna;ZONA RURAL;EST SEICHO-NO-IE, KM1, SÍTIO SANTO ANTONIO;-23.6539;-47.1902;3519709;Greenfield ;2G 3G 4G ;850 1800 2100 2500 
686876440;TIM;PR;Paranaguá;INDUSTRIAL;RUA PROFESSOR CLETO, 0, AO LADO DO 2200;-25.510278;-48.523917;4118204;Greenfield ;2G 3G 4G 5G ;700 1800 2100 2500 3500 
686876474;TIM;PR;São José dos Pinhais;SAO SEBASTIAO;Rua Diolinda Ricardina De Jesus, 249, -;-25.538574;-49.090062;4125506;;2G 3G 4G ;700 850 1800 2100 2500 
686876512;TIM;PR;Curitiba;Vista Alegre;Rua João Tschannerl, 999, -;-25.403444;-49.289028;4106902;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686876520;TIM;PR;Curitiba;PAROLIN;Rua Brigadeiro Franco 4705, 4705, -;-25.46;-49.26694;4106902;Greenfield Rooftop ;2G 3G 4G ;700 850 1800 2100 2500 
686876563;TIM;PR;Araucária;Vila Nova;RUA LINCOLN SETEMBRINO COIMBRA, SN, AO LADO 108;-25.580675;-49.414745;4101804;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686876580;VIVO;SP;Campinas;POLO II DE ALTA TECNOLOGIA (CAMPINAS);ESTRADA MUNICIPAL UNICAMP TELEBRÁS, S/N, KM 1;-22.814069;-47.058222;3509502;Greenfield Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686876652;TIM;PR;Foz do Iguaçu;Jardim Porto Belo;Rua Joao Benitez, S/N, Esq Anna Dotto Soletto;-25.471458;-54.584487;4108304;;2G 3G 4G 5G ;850 1800 2500 3500 
686876687;TIM;PR;Colombo;CENTRO;Rua Abel Scuissiato, S/N, ( Em Frente Ao Nº 1907 );-25.379179;-49.18387;4105805;Greenfield ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686876695;TIM;PR;Douradina;-;Rua S Roque 645, S/N, -;-23.383056;-53.292778;4107256;Greenfield ;2G 3G 4G ;700 850 900 1800 
686879457;VIVO;MA;Humberto de Campos;CENTRO;AVENIDA JOAQUIM RODRIGUES, S/N, RBR-NÃO;-2.60417;-43.46222;2105005;;2G 3G 4G ;700 850 1800 2100 2500 
686879686;CLARO;RS;Almirante Tamandaré do Sul;CENTRO;R RIACHUELO, S/N, ;-28.11416;-52.91361;4300471;;2G 3G 4G ;700 850 900 2100 
686879694;CLARO;RS;Aceguá;CENTRO;AV CORREDOR DA MINA, 267, ;-31.8732;-54.1582;4300034;;3G 4G ;700 850 2100 
686879953;CLARO;RS;Porto Alegre;JARDIM BOTANICO;R DONA INOCÊNCIA, 321, ;-30.0563;-51.1788;4314902;Rooftop ;2G 3G 4G 5G ;700 850 1800 2100 2500 3500 
686880005;CLARO;RS;Lindolfo Collor;PICADA CAPIVARA;R RUDOLFO BEHNE, 351, AO LADO DO 363;-29.59593;-51.20281;4311627;Greenfield ;2G 3G 4G ;700 850 900 1800 2100 
686880170;TIM;RO;Buritis;CENTRO;AV. PORTO VELHO, 1360, S/N, ;-10.208899;-63.82735;1100452;Greenfield ;2G 4G 5G ;900 1800 3500 
